"id","name","slug","description","image","width","height","price","stock","createdAt","updatedAt"
1452,"Star Wars: The Rise of Skywalker","star-wars-the-rise-of-skywalker-teaser","Afslutningen på Skywalker-sagaen, hvor Rey og modstandsbevægelsen møder den sidste trussel fra Første Orden.","https://info.kinorevuen.dk/wp-content/uploads/2021/01/rise-of-skywalker-plakat-1.jpg",70,100,70,3,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1456,"The Matrix Revolutions","the-matrix-revolutions","Dansk biografpremiere	05.11.2003
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/matrixrevolutionsplakat.jpg",62,85,100,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1458,"Star Wars: The Rise of Skywalker (Teaser 1)","star-wars-the-rise-of-skywalker-teaser-1","Rey fortsætter sin rejse sammen med modstandsbevægelsen i den sidste del af Star Wars-sagaen.","https://info.kinorevuen.dk/wp-content/uploads/2021/01/star-wars-tease-1.jpg",70,100,200,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1459,"Star Wars: The Rise of Skywalker (Teaser 2)","star-wars-the-rise-of-skywalker-teaser-2","Heltene samler sig til det afgørende opgør mod Første Orden og den mørke side.","https://info.kinorevuen.dk/wp-content/uploads/2021/01/star-wars-teaser-2.jpg",70,100,85,2,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1460,"Drømmebyggerne","https-www-kino-dk-sites-default-files-movie-posters-droemmebyggerne_dk_bioplakat_web-jpgitokhtzlub8n","Dansk Animationsfilm 2020
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/droemmebyggerne-dk-bioplakat-web.jpg",70,100,70,5,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1465,"Pelle Haleløs","pelle-haleloes","&#8216;Pelle Haleløs&#8217; er en familiefilm for store og små. baseret på børnebøgerne af den svenske forfatter Gösta Knutsson, der blev udgivet i perioden 1939-1972.
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/pelle-haleloes-1.jpg",70,100,50,7,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1468,"JoJo Rabbit","jojo-rabbit","&#8216;Jojo Rabbit&#8217; er instrueret af Taika Waititi der både står bag manuskript, instruktion og selv spiller rollen som Adolf Hitler. Han vandt tilmed en Oscar for sit manus.
Dansk biografpremiere 16.01.2020
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/jojorabbit-1.jpg",70,100,70,6,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1471,"Sonic Hedgehog","sonic-hedgehog","Sonic må samarbejde med en politibetjent for at beskytte sig mod den skøre videnskabsmand Dr. Robotnik.","https://info.kinorevuen.dk/wp-content/uploads/2021/01/sonic-hedgehog.jpg",70,100,50,4,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1474,"Undtagelsen","undtagelsen","Baseret på Christian Jungersens bestseller. 
Dansk biografpremiere	02.07.2020
","https://info.kinorevuen.dk/wp-content/uploads/2021/01/undtagelsen.jpg",70,100,70,4,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1476,"Ellevilde Ella","ellevilde-ella","En energisk og fantasifuld fortælling om Ella, der oplever et spændende eventyr fyldt med musik og venskab.","https://info.kinorevuen.dk/wp-content/uploads/2021/01/ellevilde-ella-pl.jpg",70,100,50,5,"2023-01-30 04:06:47","2023-01-30 04:06:47"
