id,name,slug,description,image,width,height,price,stock
1,Fight Club,fight-club,A psychological drama about an underground fight society,https://kinorevuen.dk/wp-content/uploads/2026/04/fight-club.jpg,24,36,29.99,10
2,Kill Bill,kill-bill,A revenge action film from Quentin Tarantino,https://kinorevuen.dk/wp-content/uploads/2026/04/kill-bill.jpg,24,36,34.99,8
3,Goodfellas,goodfellas,A crime drama about life in the mob,https://kinorevuen.dk/wp-content/uploads/2025/06/goodfellas1990.jpg,24,36,32.99,12
4,No Limits,no-limits,A dramatic film about pushing beyond every limit,https://kinorevuen.dk/wp-content/uploads/2025/06/no-limits.jpg,24,36,24.99,15
5,La Bella Lola,la-bella-lola,A romantic musical story from Spain,https://kinorevuen.dk/wp-content/uploads/2025/05/la-bella-lola.jpg,24,36,39.99,7
6,Salvator,salvator,A dramatic portrait of a troubled artist,https://kinorevuen.dk/wp-content/uploads/2025/04/salvator.jpg,24,36,36.99,9
7,Die Hard,die-hard,An action thriller set inside a Christmas skyscraper,https://kinorevuen.dk/wp-content/uploads/2024/11/die-hard-banner.jpg,24,36,27.99,14
8,Total Recall,total-recall,A science fiction action film about false memories,https://kinorevuen.dk/wp-content/uploads/2024/11/total-recall.jpg,24,36,31.99,6
9,Paddington in Peru,paddington-in-peru,A family adventure with Paddington Bear,https://kinorevuen.dk/wp-content/uploads/2024/10/paddington-i-peru.jpg,24,36,29.99,11
10,Despicable Me 4,despicable-me-4,An animated comedy adventure for the whole family,https://kinorevuen.dk/wp-content/uploads/2024/10/grusomme-mig-4.jpg,24,36,42.99,8
11,A Panda in Africa,a-panda-in-africa,An animated family adventure across Africa,https://kinorevuen.dk/wp-content/uploads/2024/10/en-panda-i-afrika.jpg,24,36,35.99,10
12,Miniheroes,miniheroes,An animated action adventure about tiny heroes,https://kinorevuen.dk/wp-content/uploads/2024/10/miniheltene.jpg,24,36,28.99,13
13,Lassie New Adventures,lassie-new-adventures,A family adventure with a loyal dog,https://kinorevuen.dk/wp-content/uploads/2024/10/lassie-pa-nye-eventyr.jpg,24,36,30.99,9
14,The Second Act,the-second-act,A French comedy about an unusual dinner,https://kinorevuen.dk/wp-content/uploads/2024/04/andenakt-poster.webp,24,36,33.99,7
15,Bytte Bytte Baby,bytte-bytte-baby,A Danish comedy about two families,https://kinorevuen.dk/wp-content/uploads/2024/04/byttebyttebabyplakat.webp,24,36,37.99,6
16,Decision to Leave,decision-to-leave,A mystery romance about a detective and a widow,https://kinorevuen.dk/wp-content/uploads/2024/04/decision-to-leave-0.webp,24,36,34.99,8
17,Wish,wish,A fantasy animation about a kingdom and a wish,https://kinorevuen.dk/wp-content/uploads/2024/04/wish-payoff-poster-685x1015-dk-72dpi.jpg,24,36,26.99,16
18,The Nun,the-nun,A supernatural horror story about an evil presence,https://kinorevuen.dk/wp-content/uploads/2024/04/thenunll.webp,24,36,31.99,10
19,Napoleon,napoleon,A historical epic about the French emperor,https://kinorevuen.dk/wp-content/uploads/2024/04/napoleonplakat.webp,24,36,29.99,12
20,One Love,one-love,A musical biographical film about a legendary musician,https://kinorevuen.dk/wp-content/uploads/2024/02/jamaica-one-love-mobile.jpg,24,36,38.99,9
21,Rosa,rosa,A family animation about a wild sea creature,https://kinorevuen.dk/wp-content/uploads/2023/09/rosa-det-vilde-soeuhyre.jpg,24,36,33.99,8
22,Mugge and His Strange Brain,mugge-and-his-strange-brain,A Danish family comedy,https://kinorevuen.dk/wp-content/uploads/2023/09/mugge-hans-maerkelige-hjerne.jpg,24,36,31.99,10
23,Argonauts Mission Olympus,argonauts-mission-olympus,An animated adventure inspired by Greek mythology,https://kinorevuen.dk/wp-content/uploads/2023/09/argonauterne-mission-olympus.jpg,24,36,25.99,14
24,Julemandens Datter,julemandens-datter,A fantasy family adventure with a magical time machine,https://kinorevuen.dk/wp-content/uploads/2023/09/julemandens-datter-den-magiske-tidsmaskine.jpg,24,36,34.99,7
25,My Friend the Crocodile,my-friend-the-crocodile,A family adventure about an unusual friendship,https://kinorevuen.dk/wp-content/uploads/2023/09/min-ven-krokodillen.jpg,24,36,41.99,6
